"year_from","year_to","log_area","region_africa","region_central_eurasia","region_east_asia","region_europe","region_north_america","region_oceania_australia","region_south_america","region_south_asia","region_southeast_asia","region_southwest_asia","X4654","X4676","X4729","X4745","X4776","X4780","X4794","X4827","X4954","X5132","X5137","X5196","X5220","X5226"
1848,2020,16.689780282435,"0","1","0","1","1","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0"
1962,1993,3.79566414465953,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0",NA
1989,2022,18.4497228534355,"1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","0","0","0","0","0"
1860,2020,17.9152828947453,"1","1","1","1","1","0","1","1","1","1","1","0","1","0","1",NA,"0","1","1","0","0","0","0","0"
-450,425,13.0274227478451,"0","1","0","1","0","0","0","0","0","1","1","0","1","0","1","1","1","1","0","0","0","0","0","0"
1949,2020,15.0273861473541,"0","0","1","0","0","0","0","0","1","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0"
1907,2022,16.9685794364223,"1","0","0","0","0","0","0","0","0","0",NA,"1","1","0","1",NA,"0","1",NA,"0","0","1","0","1"
-1960,2022,12.1647141044383,"1","0","0","0","0","0","0","0","0","0","1",NA,"1","1","1","1","1",NA,"1","0","0","0","1","1"
1990,2020,12.9677592524679,"0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","1","1","1","0","0","0",NA,"1"
1990,2020,14.2728934068736,"0","1","1","0","0","0","0","0","0","0","1","0","0","0","1",NA,NA,"1",NA,"0","0",NA,"0","1"
1956,2020,14.3041285518266,"0","0","0","0","1","0","1","0","0","0","1","0","1","1","1","1","1","1","1","0",NA,"1","0",NA
1960,2020,15.9218004888555,"0","0","0","0","1","0","0","0","0","0","1",NA,"1","0","1","1","0","1","1","0","0","0","0","0"
100,400,10.3951884976712,"1","0","0","1","0","0","0","0","0","1","1","0","1","0",NA,"1","0","1","0","0","0","0","0","1"
1968,2020,16.7788240146574,"0","0","0","0","1","0","0","0","0","0","1","1","1",NA,"1","1","0","1","1","0","0","0","0","0"
800,1571,7.9816446585125,"0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","1","0","1","1","0",NA,"0","0","1"
1930,2020,12.187886638384,"0","0","0","0","1","0","0","0","0","0",NA,"0","1","0","1","1","1","1","0","0","0","0","0","1"
1926,2020,14.4401479392116,"0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","1",NA,"0",NA,"1","0","1"
-150,70,10.3345498519797,"0","0","0","0","0","0","0","0","0","1",NA,"1","1","1","1","1","1","1","0","0","0","0","0","1"
1980,2020,17.1534529974162,"1","1","1","1","0","0","0","1","0","1","1","0","1","0","1",NA,"0","1","1","0","0","0","0","0"
1968,1998,16.7994772697923,"0","0","0","0","1","0","1","0","0","0","1","0","1",NA,"1","1","0","1","1","0","0","0","0","1"
1258,2020,15.8040885657134,"1","0","0","1","0","0","0","0","0","1","1",NA,"1","0","1","1","1","1","1","0","0","0","0","0"
2000,2020,9.47885667061769,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","1"
1995,2020,10.9293063938249,"0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","0","1","1","0","0","0","0","0"
1900,2020,13.1857852330487,"0","0","0","0","0","0","0","1","0","0","1","1","1",NA,"1","1","1","1","1","0","0",NA,NA,"1"
220,650,10.2874450308256,"0","0","0","0","0","0","0","0","0","1","1",NA,"1","0","1","1","0",NA,"1","0","0",NA,"1","1"
842,2020,12.2260494000673,"0","0","1","0","0","0","0","1","0","0","1","1","1","1","1","1","1","1","1","0","0","0","1","1"
1860,1910,10.7027721814193,"0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","0","0","0"
1143,2020,14.8189177762679,"0","0","1","0","0","0","0","1","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","1"
1580,2020,13.2481335615428,"0","0","0","1","1","0","1","0","0","0","1","1","1","1",NA,"1","1","1","1","0",NA,"0","0",NA
144,1000,15.7330597782396,"1","1","0","1","1","0","0","1","0","1","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
1911,1940,14.2754169838638,"0","1","1","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1",NA,"0","0","1","1","1"
1910,2020,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","0","0","0"
-800,394,2.61220389718852,"0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0",NA,"0","1"
-1600,-1185,8.01624602724901,"0","0","0","0","0","0","0","0","0","1","1","1",NA,NA,"1","1","1",NA,"0","0","0","1","1","1"
-31,68,15.4631130615545,"1","1","0","1","1","0","0","0","0","1","1","1","0","1","1","1","0","1","1","0","0","0","1","0"
1600,1700,15.7156282381043,"0","1","1","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1",NA,"0","0","0","0","1"
1816,2020,17.60793893108,"1","0","1","1","1","0","1","1","0","0","1","0",NA,"0","1","1","0","1","1","0","0","0","0","0"
1752,2020,11.9102338563156,"0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","1"
1620,1700,13.3051916230364,"0","1","0","1","0","0","0","0","0","0","1","1","1","1",NA,"1","0","1","1",NA,"0","0","1","1"
700,1959,14.7047303720266,"0","0","1","0","0","0","0","1","1","0","1","1","1","1","1",NA,"1","1","1","0","0","0","0","1"
1963,2020,14.4945481195307,"0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","1","0",NA,"0","0","0","0"
1652,2020,14.4310778750217,"1","0","0","1","1","0","1","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
1980,2020,9.77059422627986,"0","0","0","0","0","0","0","0","0","1","1","1","1","1","1",NA,"1","1",NA,"0","0","0","1","0"
1540,1773,12.5033116809267,"0","0","0","1","0","0","0","0","0","0","1","0","1","1","1",NA,"1","1","1","0","0","0",NA,"0"
1000,2020,14.6213197845056,"0","0","1","0","0","0","0","1","0","0","1","1","1","1","1","1","1","1","1","0","0","0","1","1"
1885,2020,12.3834474691329,"0","0","0","1","0","0","0","0","0","0","1","1",NA,"1","1",NA,"1","1","1","0","0","0","0","1"
1400,2000,13.2114051760513,"0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1"
1119,1312,15.0460202261767,"0","0","0","1","1","0","0","0","0","1",NA,"1","1",NA,"1","1","1","1",NA,"0","0","0","0","1"
1800,2020,12.2925718757837,"0","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","1"
1318,2020,13.8808756953224,"0","1","1","0","0","0","0","1","0","0","1","1","1",NA,"1","1","1","1","1","0","0",NA,"0","1"
1683,2021,16.825809068101,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1",NA,"0","1","1","0","0","0","0","1"
-323,500,15.4631130615545,"1","1","0","1","1","0","0","0","0","1","1",NA,NA,"1","1","1","1","1","1","0","0","1",NA,"0"
500,2020,13.6981866792908,"0","0","0","0","0","0","0","1","0","0","1","1","1",NA,"1","1","0","1","1","0","0","0","0","0"
1845,2019,11.0036552357051,"0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","1","1","1","1","0","0","0","1",NA
1204,1261,11.7633356785304,"0","0","0","0","0","0","0","0","0","1",NA,"1",NA,"1","1","1","1",NA,"1","0","0","0","0","1"
1980,2020,15.9218004888555,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
1187,2019,6.68015441170274,"0","0","0","0","0","0","0","1","0","0","1","1","1",NA,"1","1","1","1",NA,"0","0","0","0","1"
1200,2020,15.3328914098431,"0","1","1","0","0","0","0","1","1","0","1","0","1","1","1","1","1","1","1","0","0","0","0","1"
1500,2020,14.4401479392116,"0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","1",NA,"0","0",NA,"0","1"
1930,2020,9.27885606854144,"0","0","0","0","1","0","0","0","0","0","1",NA,"1","0","1","0","0","1","0","0","0","1","0","1"
600,2020,14.6213197845056,"0","0","1","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","1"
1530,2020,13.2600110048664,"0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","1","0","1","1","0","0","0","0","0"
1108,1299,3.84024644828521,"0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1",NA,"1","0","0","0","0","1","1"
150,529,10.9309125074444,"1","0","0","1","0","0","0","0","0","1","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
1600,2020,9.9528738004101,"0","0","0","0","0","0","0","1","0","0","1",NA,"1","1","1","1","1","1","1","0","0","0","1","0"
1832,2020,15.9179815777979,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","1",NA,"0","0","0","0"
1928,2020,18.2877261771801,"1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1",NA,"0","0","0","0","0"
-712,380,2.61220389718852,"0","0","0","1","0","0","0","0","0","0","1","1","1","1",NA,"1","1",NA,"1","0","0",NA,"0",NA
1841,2020,11.9460714946857,"0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1"
-2950,-2670,13.3140606509936,"1","0","0","0","0","0","0","0","0","0","1","1","0","1",NA,NA,"1","1","1","1","0",NA,"1",NA
-2670,-2168,13.3140606509936,"1","0","0","0","0","0","0","0","0","0","1","1","1",NA,"1","1","1","1",NA,"0","0","0","1","1"
-2168,-2010,13.3140606509936,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","1","1"
1510,1640,13.4520412165762,"0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","1"
1200,1368,11.7814533912003,"0","0","1","0","0","0","0","0","0","0","1","1",NA,"1","1",NA,"1","1","1","0","0","0","0","1"
1100,1250,6.28740117400896,"0","0","0","1","0","0","0","0","0","0","1",NA,"1","0","1","1","1","1","1","0","0","0",NA,"1"
-1100,-650,13.3140606509936,"1","0","0","0","0","0","0","0","0","0","1",NA,"1","1","1",NA,"1","1","1","0","0",NA,"1","1"
1644,1911,15.3592654739724,"0","0","1","0","0","0","0","0","1","0","1","0","1","1","1","1","1","1","1","0","0","0","0","1"
1600,2021,11.482034849644,"0","0","1","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1"
1500,2020,10.9458713077968,"0","0","0","0","0","0","0","0","1","0",NA,"1",NA,NA,"1",NA,"1","1","1","0","0","1","1","1"
-141,-87,15.5931115238975,"0","1","1","0","0","0","0","1","1","0","1","1","0","1","1","1","0","1","1","0","0","0","0","0"
-1504,-1069,-2.81935430387096,"1","0","0","0","0","0","0","0","0","0","1",NA,"1",NA,"1","1",NA,"1","1","0",NA,NA,"1","1"
2001,2021,18.6962845501203,"1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","0","0"
1560,1687,5.92279060727023,"0","0","0","0","0","0","0","1","0","0","1",NA,"1",NA,"1",NA,"1","1","1","0",NA,"1","0","1"
1625,2021,10.6445255450782,"0","0","1","0","0","0","0","1","0","0","1",NA,"1","1",NA,"1","1","1","1","0","0","0","1",NA
969,1400,13.2479799699684,"0","0","0","1","0","0","0","0","0","1","1","1","1","0","1","1","0","1","1","0","0","0","0","1"
0,600,13.1352415856431,"1","0","0","0","0","0","0","0","0","1","1","1",NA,"1",NA,"1","1",NA,"1","0",NA,"0","1","1"
960,1279,13.0374014818327,"0","0","1","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1"
-1292,-1070,12.1098790919217,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0",NA,"1","1","1"
1890,2021,12.296540021471,"0","1","1","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","0",NA,"0"
-700,476,9.74199144870034,"0","0","0","1","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","0","0","0","0","1"
600,2021,9.90808639821814,"0","0","1","0","0","0","0","0","0","0",NA,"1","1","1","1","1","1","1","0","0","0","0","0","0"
1910,1951,10.4097401310437,"0","0","1","0","0","0","0","0","0","0","1","1","1","0",NA,"0","0","1","1","0","0","0","0","0"
220,589,15.314660757764,"0","1","1","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","0",NA,"0","0","1"
1500,1950,13.898139825477,"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0"
1997,2021,17.1656108140984,"0","1","1","1","1","0","1","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
1600,2020,11.1186633328172,"0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1"
1945,2021,11.9573464302001,"0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1",NA,"1",NA,NA,"0","1","1"
1920,1950,6.29535306844297,"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1",NA,"1","0","0","0","0","1"
1885,1910,5.15471184820863,"0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","1"
1915,1940,5.89046110035332,"0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","1"
1950,2021,16.0465844821491,"0","1","1","0","0","0","0","1","1","0","1","1","1","1","1","1","0",NA,"1",NA,"0","0","0","0"
