entry_id,year_from,year_to,region_africa,region_central_eurasia,region_east_asia,region_europe,region_north_america,region_oceania_australia,region_south_america,region_south_asia,region_southeast_asia,region_southwest_asia,entrytag_9,entrytag_14,entrytag_18,entrytag_24,entrytag_38,entrytag_123,entrytag_508,entrytag_510,entrytag_905,entrytag_14828
546,1988,1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,1860,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,1750,1986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,1854,1980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
550,1841,1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
551,1810,1998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
552,1000,1970,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
553,1788,1983,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
554,1750,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
555,1900,1986,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
556,1000,2000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
557,1878,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
558,1500,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
559,1854,1991,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
562,1017,1445,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
563,1845,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
564,1950,2018,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
565,1925,1960,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
567,2001,2024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,1895,1930,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
570,1986,2018,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
571,1855,1890,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
572,1890,1930,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,1920,1967,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
576,1000,2018,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
577,1860,1900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
578,1875,1910,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
580,1700,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
581,1970,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
582,1930,1960,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
586,1900,2017,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
588,1905,1940,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
589,1915,1945,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
590,670,712,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
591,1925,1950,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,1200,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
594,1925,1955,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
595,1804,1840,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,-600,-200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
598,1875,1915,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
599,1920,1938,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
600,1900,1930,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
602,1930,1960,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
604,1890,1923,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
605,1940,1965,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
607,-400,-200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
608,1926,1955,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
609,1915,1940,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
610,1900,1960,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
611,1930,1960,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
612,1880,1915,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,1800,1830,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,1925,1960,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
616,1933,1960,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
618,1860,1890,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
619,1865,1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,1900,1935,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
621,1910,1935,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
622,1896,1921,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
623,1893,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
624,1550,1640,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
625,1890,1915,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
626,1907,1935,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
627,1905,1935,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,1200,2018,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
630,1886,1913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,1879,1909,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
632,-650,-409,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,1238,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
634,-350,-100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
635,1890,1920,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
636,1500,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
