Type,Percent,Iter,Method,var_x,var_y,corr_complete,corr_imputed
MAR,10,1,miceCART,X4794,X4828,-0.10340253000749859,-0.09091337800656484
MAR,10,1,miceCART,X4794,X4954,0.023889661829999725,0.011439410924612432
MAR,10,1,miceCART,X4794,X5196,0.07804819248859426,0.09495341846854893
MAR,10,1,miceCART,X4794,X5220,0.22125520449865627,0.2226410130350536
MAR,10,1,miceCART,X4794,X5226,0.293182992258981,0.32324318632722726
MAR,10,1,miceCART,X4828,X4954,0.0898312082395111,0.07678998229753693
MAR,10,1,miceCART,X4828,X5196,0.0867489979267865,0.01674939303367799
MAR,10,1,miceCART,X4828,X5220,-0.08470571522883175,-0.08543165637217673
MAR,10,1,miceCART,X4828,X5226,0.005257824127121005,-0.002540480272561426
MAR,10,1,miceCART,X4954,X5196,0.05668076556096307,0.040468280164632206
MAR,10,1,miceCART,X4954,X5220,0.01332638833778191,0.04371014071755394
MAR,10,1,miceCART,X4954,X5226,0.009115046960387117,0.001699914009409463
MAR,10,1,miceCART,X5196,X5220,0.010876706757180532,-0.024406628086981182
MAR,10,1,miceCART,X5196,X5226,0.19674565372836075,0.22485937650204454
MAR,10,1,miceCART,X5220,X5226,0.22752331878378967,0.19138532937892444
MAR,10,1,micePMM,X4676,X4729,-0.13458643807329113,-0.11467669269250276
MAR,10,1,micePMM,X4676,X4745,0.28750101650468146,0.28157519459830677
MAR,10,1,micePMM,X4676,X4776,-0.13607275948655725,-0.14822683355632751
MAR,10,1,micePMM,X4676,X4780,0.03227066473069483,0.02542357665720719
MAR,10,1,micePMM,X4676,X4794,0.28726106556196107,0.23559049804153137
MAR,10,1,micePMM,X4676,X4828,-0.05016493268689705,-0.0831052033277334
MAR,10,1,micePMM,X4676,X4954,-0.07620521767690396,-0.08913329023779162
MAR,10,1,micePMM,X4676,X5196,0.14065543365021957,0.19269631906731657
MAR,10,1,micePMM,X4676,X5220,0.1580721727478751,0.12260826095016455
MAR,10,1,micePMM,X4676,X5226,0.31866359788405507,0.2972095123115915
MAR,10,1,micePMM,X4729,X4745,0.1877755227700502,0.21199160526861005
MAR,10,1,micePMM,X4729,X4776,-0.039420938985009576,-0.05018123884198946
MAR,10,1,micePMM,X4729,X4780,-0.07511823494614298,-0.0647364552108681
MAR,10,1,micePMM,X4729,X4794,-0.019198646680501544,-0.0030732114137982584
MAR,10,1,micePMM,X4729,X4828,0.2593770060105025,0.32729971454017454
MAR,10,1,micePMM,X4729,X4954,0.03339604365470998,0.04980398613022816
MAR,10,1,micePMM,X4729,X5196,0.08442936399243549,0.07282269753556779
MAR,10,1,micePMM,X4729,X5220,0.11297776096650695,0.10379853895719869
MAR,10,1,micePMM,X4729,X5226,-0.14181228161804507,-0.1408366519093022
