Question,Method,Type,Percent,Iter,RMSE,Mean Percent Bias,Accuracy,Precision,Recall,F1 score,Matthews Correlation
X4780,mode,MAR,10,2,0.0,0.0,1.0,1.0,1.0,1.0,
X4794,mode,MAR,10,2,0.3692744729379982,13.636363636363635,0.8636363636363636,0.8636363636363636,1.0,0.9268292682926829,0.0
X4827,mode,MAR,10,2,0.0,0.0,1.0,1.0,1.0,1.0,
X4828,mode,MAR,10,2,0.3841106397986879,14.754098360655737,0.8524590163934426,0.8524590163934426,1.0,0.9203539823008848,0.0
X4954,mode,MAR,10,2,0.23570226039551584,5.555555555555555,0.9444444444444444,0.9444444444444444,1.0,0.9714285714285714,0.0
X5132,mode,MAR,10,2,0.2626128657194451,6.896551724137931,0.9310344827586207,0.0,0.0,0.0,0.0
X5137,mode,MAR,10,2,0.23904572186687872,5.714285714285714,0.9428571428571428,0.0,0.0,0.0,0.0
X5196,mode,MAR,10,2,0.5,25.0,0.75,0.0,0.0,0.0,0.0
X5220,mode,MAR,10,2,0.50709255283711,25.71428571428571,0.7428571428571429,0.0,0.0,0.0,0.0
X5226,mode,MAR,10,2,0.49236596391733095,24.242424242424242,0.7575757575757576,0.7575757575757576,1.0,0.8620689655172413,0.0
X4654,mode,MAR,10,3,0.0,0.0,1.0,1.0,1.0,1.0,
X4676,mode,MAR,10,3,0.5838742081211422,34.090909090909086,0.6590909090909091,0.6590909090909091,1.0,0.7945205479452054,0.0
X4729,mode,MAR,10,3,0.3535533905932738,12.5,0.875,0.875,1.0,0.9333333333333333,0.0
X4745,mode,MAR,10,3,0.3779644730092272,14.285714285714285,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.0
X4776,mode,MAR,10,3,0.24253562503633297,5.88235294117647,0.9411764705882353,0.9411764705882353,1.0,0.9696969696969697,0.0
X4780,mode,MAR,10,3,0.0,0.0,1.0,1.0,1.0,1.0,
X4794,mode,MAR,10,3,0.37267799624996495,13.88888888888889,0.8611111111111112,0.8611111111111112,1.0,0.9253731343283582,0.0
X4827,mode,MAR,10,3,0.0,0.0,1.0,1.0,1.0,1.0,
X4828,mode,MAR,10,3,0.4354941703556927,18.96551724137931,0.8103448275862069,0.8103448275862069,1.0,0.8952380952380952,0.0
X4954,mode,MAR,10,3,0.3287979746107146,10.81081081081081,0.8918918918918919,0.8918918918918919,1.0,0.9428571428571428,0.0
X5132,mode,MAR,10,3,0.15811388300841897,2.5,0.975,0.0,0.0,0.0,0.0
X5137,mode,MAR,10,3,0.14907119849998599,2.2222222222222223,0.9777777777777777,0.0,0.0,0.0,0.0
X5196,mode,MAR,10,3,0.48304589153964794,23.333333333333332,0.7666666666666667,0.0,0.0,0.0,0.0
X5220,mode,MAR,10,3,0.6504436355879909,42.30769230769231,0.5769230769230769,0.0,0.0,0.0,0.0
X5226,mode,MAR,10,3,0.3834824944236852,14.705882352941178,0.8529411764705882,0.8529411764705882,1.0,0.9206349206349206,0.0
X4654,mode,MAR,10,4,0.0,0.0,1.0,1.0,1.0,1.0,
X4676,mode,MAR,10,4,0.609449400220044,37.142857142857146,0.6285714285714286,0.6285714285714286,1.0,0.7719298245614035,0.0
X4729,mode,MAR,10,4,0.5345224838248488,28.57142857142857,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,0.0
X4745,mode,MAR,10,4,0.5,25.0,0.75,0.75,1.0,0.8571428571428571,0.0
X4776,mode,MAR,10,4,0.0,0.0,1.0,1.0,1.0,1.0,
X4780,mode,MAR,10,4,0.0,0.0,1.0,1.0,1.0,1.0,
X4794,mode,MAR,10,4,0.6324555320336759,40.0,0.6,0.6,1.0,0.7499999999999999,0.0
X4827,mode,MAR,10,4,0.0,0.0,1.0,1.0,1.0,1.0,
X4828,mode,MAR,10,4,0.46770717334674267,21.875,0.78125,0.78125,1.0,0.8771929824561403,0.0
X4954,mode,MAR,10,4,0.3892494720807615,15.151515151515152,0.8484848484848485,0.8484848484848485,1.0,0.9180327868852458,0.0
X5132,mode,MAR,10,4,0.25,6.25,0.9375,0.0,0.0,0.0,0.0
X5137,mode,MAR,10,4,0.0,0.0,1.0,,,,
X5196,mode,MAR,10,4,0.508000508000762,25.806451612903224,0.7419354838709677,0.0,0.0,0.0,0.0
X5220,mode,MAR,10,4,0.4714045207910317,22.22222222222222,0.7777777777777778,0.0,0.0,0.0,0.0
X5226,mode,MAR,10,4,0.43994134506405985,19.35483870967742,0.8064516129032258,0.8064516129032258,1.0,0.8928571428571428,0.0
X4654,mode,MAR,10,5,0.0,0.0,1.0,1.0,1.0,1.0,
X4676,mode,MAR,10,5,0.5773502691896257,33.33333333333333,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0
X4729,mode,MAR,10,5,0.3872983346207417,15.0,0.85,0.85,1.0,0.9189189189189189,0.0
X4745,mode,MAR,10,5,0.6055300708194983,36.666666666666664,0.6333333333333333,0.6333333333333333,1.0,0.7755102040816326,0.0
X4776,mode,MAR,10,5,0.16666666666666666,2.7777777777777777,0.9722222222222222,0.9722222222222222,1.0,0.9859154929577464,0.0
X4780,mode,MAR,10,5,0.0,0.0,1.0,1.0,1.0,1.0,
X4794,mode,MAR,10,5,0.3651483716701107,13.333333333333334,0.8666666666666667,0.8666666666666667,1.0,0.9285714285714286,0.0
X4827,mode,MAR,10,5,0.0,0.0,1.0,1.0,1.0,1.0,
X4828,mode,MAR,10,5,0.45374260648651504,20.588235294117645,0.7941176470588235,0.7941176470588235,1.0,0.8852459016393442,0.0
X4954,mode,MAR,10,5,0.3627381250550058,13.157894736842104,0.868421052631579,0.868421052631579,1.0,0.9295774647887324,0.0
X5132,mode,MAR,10,5,0.21821789023599236,4.761904761904762,0.9523809523809523,0.0,0.0,0.0,0.0
X5137,mode,MAR,10,5,0.16666666666666666,2.7777777777777777,0.9722222222222222,0.0,0.0,0.0,0.0
X5196,mode,MAR,10,5,0.3779644730092272,14.285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0
X5220,mode,MAR,10,5,0.6009252125773316,36.11111111111111,0.6388888888888888,0.0,0.0,0.0,0.0
X5226,mode,MAR,10,5,0.5527707983925667,30.555555555555557,0.6944444444444444,0.6944444444444444,1.0,0.819672131147541,0.0
X4654,mode,MAR,10,6,0.0,0.0,1.0,1.0,1.0,1.0,
X4676,mode,MAR,10,6,0.6373774391990981,40.625,0.59375,0.59375,1.0,0.7450980392156863,0.0
X4729,mode,MAR,10,6,0.5570860145311556,31.03448275862069,0.6896551724137931,0.6896551724137931,1.0,0.8163265306122449,0.0
X4745,mode,MAR,10,6,0.47519096331149147,22.58064516129032,0.7741935483870968,0.7741935483870968,1.0,0.8727272727272727,0.0
X4776,mode,MAR,10,6,0.20851441405707477,4.3478260869565215,0.9565217391304348,0.9565217391304348,1.0,0.9777777777777777,0.0
X4780,mode,MAR,10,6,0.16222142113076254,2.631578947368421,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,0.0
X4794,mode,MAR,10,6,0.5144957554275266,26.47058823529412,0.7352941176470589,0.7352941176470589,1.0,0.8474576271186441,0.0
X4827,mode,MAR,10,6,0.0,0.0,1.0,1.0,1.0,1.0,
