Question,Method,Type,Percent,Iter,RMSE,Mean Percent Bias,Accuracy,Precision,Recall,F1 score,Matthews Correlation
Q_2265,xgb,MCAR,30,2,0.46017899330842227,2.3529411764705883,0.788235294117647,0.813953488372093,0.7777777777777778,0.7954545454545454,0.5768172155544256
Q_2300,xgb,MCAR,30,2,0.621581560508061,9.090909090909092,0.6136363636363636,0.6037735849056604,0.7111111111111111,0.6530612244897959,0.22749131886622903
Q_2322,xgb,MCAR,30,2,0.49690399499995325,2.4691358024691357,0.7530864197530864,0.8125,0.78,0.7959183673469388,0.4843935350251834
Q_2347,xgb,MCAR,30,2,0.46017899330842227,2.3529411764705883,0.788235294117647,0.8648648648648649,0.8888888888888888,0.8767123287671232,0.12831218361487137
Q_2841,xgb,MCAR,30,2,0.4364357804719847,2.380952380952381,0.8095238095238095,0.8939393939393939,0.8676470588235294,0.8805970149253731,0.41164532264773035
Q_2868,xgb,MCAR,30,2,0.30348848933344197,1.3157894736842104,0.9078947368421053,0.9583333333333334,0.9452054794520548,0.9517241379310345,-0.04778184825674966
Q_2876,xgb,MCAR,30,2,0.5773502691896257,6.666666666666667,0.6666666666666666,0.7818181818181819,0.7049180327868853,0.7413793103448276,0.2790795060662345
Q_2890,xgb,MCAR,30,2,0.42919753763947605,0.0,0.8157894736842105,0.8985507246376812,0.8985507246376812,0.8985507246376812,-0.10144927536231885
Q_2919,xgb,MCAR,30,2,0.3333333333333333,5.555555555555555,0.8888888888888888,0.9076923076923077,0.9672131147540983,0.9365079365079365,0.5121762984414804
Q_3089,xgb,MCAR,30,2,0.18257418583505536,1.1111111111111112,0.9666666666666667,0.3333333333333333,0.5,0.4,0.39192475766909796
Q_3144,xgb,MCAR,30,2,0.5417363388859614,5.434782608695652,0.7065217391304348,0.42105263157894735,0.3333333333333333,0.37209302325581395,0.18610572091056557
Q_3145,xgb,MCAR,30,2,0.565685424949238,5.333333333333334,0.68,0.7368421052631579,0.6666666666666666,0.7,0.361040781823771
Q_3153,xgb,MCAR,30,2,0.44487826050130463,5.208333333333334,0.8020833333333334,0.25,0.36363636363636365,0.2962962962962963,0.19013083027305397
Q_3166,xgb,MCAR,30,2,0.5863019699779287,1.0416666666666665,0.65625,0.3333333333333333,0.32,0.32653061224489793,0.09592641937585443
Q_3169,xgb,MCAR,30,2,0.5595813731096785,15.151515151515152,0.6868686868686869,0.6190476190476191,0.3611111111111111,0.45614035087719296,0.2754964755512585
Q_2265,xgb,MCAR,30,3,0.5439837932759934,7.142857142857142,0.7040816326530612,0.7924528301886793,0.7,0.7433628318584071,0.4013878604274305
Q_2300,xgb,MCAR,30,3,0.6058783768999656,6.329113924050633,0.6329113924050633,0.6842105263157895,0.6046511627906976,0.6419753086419753,0.270445703030401
Q_2322,xgb,MCAR,30,3,0.47380354147934284,12.244897959183673,0.7755102040816326,0.8809523809523809,0.6851851851851852,0.7708333333333334,0.5744574857359503
Q_2347,xgb,MCAR,30,3,0.4288450139351179,11.494252873563218,0.8160919540229885,0.8375,0.9571428571428572,0.8933333333333333,0.2805226856973895
Q_2841,xgb,MCAR,30,3,0.5669467095138409,3.571428571428571,0.6785714285714286,0.7752808988764045,0.8117647058823529,0.7931034482758621,0.07520337616137177
Q_2868,xgb,MCAR,30,3,0.2921743548953888,3.6585365853658534,0.9146341463414634,0.9375,0.974025974025974,0.9554140127388535,-0.040291148201269014
